country,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines
Afghanistan,2/22/2021,0,0,,,,0,0,,,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,2/23/2021,,,,,1367,,,,35,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,2/24/2021,,,,,1367,,,,35,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,2/25/2021,,,,,1367,,,,35,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,2/26/2021,,,,,1367,,,,35,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,2/27/2021,,,,,1367,,,,35,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,2/28/2021,8200,8200,,,1367,0.02,0.02,,35,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,3/1/2021,,,,,1580,,,,41,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,3/2/2021,,,,,1794,,,,46,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,3/3/2021,,,,,2008,,,,52,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,3/4/2021,,,,,2221,,,,57,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,3/5/2021,,,,,2435,,,,63,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,3/6/2021,,,,,2649,,,,68,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,3/7/2021,,,,,2862,,,,74,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,3/8/2021,,,,,2862,,,,74,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,3/9/2021,,,,,2862,,,,74,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,3/10/2021,,,,,2862,,,,74,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,3/11/2021,,,,,2862,,,,74,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,3/12/2021,,,,,2862,,,,74,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,3/13/2021,,,,,2862,,,,74,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,3/14/2021,,,,,2862,,,,74,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,3/15/2021,,,,,2862,,,,74,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,3/16/2021,54000,54000,,,2862,0.14,0.14,,74,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,3/17/2021,,,,,2882,,,,74,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,3/18/2021,,,,,2902,,,,75,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,3/19/2021,,,,,2921,,,,75,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,3/20/2021,,,,,2941,,,,76,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,3/21/2021,,,,,2961,,,,76,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,3/22/2021,,,,,2980,,,,77,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,3/23/2021,,,,,3000,,,,77,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,3/24/2021,,,,,3000,,,,77,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,3/25/2021,,,,,3000,,,,77,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,3/26/2021,,,,,3000,,,,77,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,3/27/2021,,,,,3000,,,,77,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,3/28/2021,,,,,3000,,,,77,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,3/29/2021,,,,,3000,,,,77,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,3/30/2021,,,,,3000,,,,77,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,3/31/2021,,,,,3000,,,,77,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,4/1/2021,,,,,3000,,,,77,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,4/2/2021,,,,,3000,,,,77,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,4/3/2021,,,,,3000,,,,77,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,4/4/2021,,,,,3000,,,,77,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,4/5/2021,,,,,3000,,,,77,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,4/6/2021,,,,,3000,,,,77,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,4/7/2021,120000,120000,,,3000,0.31,0.31,,77,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,4/8/2021,,,,,3714,,,,95,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,4/9/2021,,,,,4429,,,,114,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,4/10/2021,,,,,5143,,,,132,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,4/11/2021,,,,,5857,,,,150,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,4/12/2021,,,,,6571,,,,169,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,4/13/2021,,,,,7286,,,,187,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
